bvmc_id,nombre,wikidata_uri,pais,sexo,imagen,ano_nacimiento,ano_fallecimiento,generos
413,Eugene O'Neill,http://www.wikidata.org/entity/Q93157,Estados Unidos,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Eugene%20O%27Neill%201936.jpg,1888,1953,
44314,Nikolái Rimski-Kórsakov,http://www.wikidata.org/entity/Q93227,Imperio ruso,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolay%20A%20Rimsky%20Korsakov%201897.jpg,1844,1908,sinfonía#ópera
43434,Marc Chagall,http://www.wikidata.org/entity/Q93284,Francia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Chagall%201967.jpg,1887,1985,vanguardismo
43434,Marc Chagall,http://www.wikidata.org/entity/Q93284,Imperio ruso,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Chagall%201967.jpg,1887,1985,vanguardismo
43434,Marc Chagall,http://www.wikidata.org/entity/Q93284,Unión Soviética,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Chagall%201967.jpg,1887,1985,vanguardismo
43434,Marc Chagall,http://www.wikidata.org/entity/Q93284,Bielorrusia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Chagall%201967.jpg,1887,1985,vanguardismo
57530,Juan Domingo Perón,http://www.wikidata.org/entity/Q93330,Argentina,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Domingo%20Per%C3%B3n.jpg,1895,1974,
692,Percy Bysshe Shelley,http://www.wikidata.org/entity/Q93343,Reino Unido,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Percy%20Bysshe%20Shelley%20by%20Alfred%20Clint.jpg,1792,1822,poesía romántica
1536,F. Scott Fitzgerald,http://www.wikidata.org/entity/Q93354,Estados Unidos,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Francis%20Scott%20Fitzgerald%201937%20June%204%20%282%29%20%28photo%20by%20Carl%20van%20Vechten%29.jpg,1896,1940,
54983,Paul Badura-Skoda,http://www.wikidata.org/entity/Q93672,Austria,masculino,,1927,,
1318,Ludwig Anzengruber,http://www.wikidata.org/entity/Q93718,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20Anzengruber.jpg,1839,1889,
55051,Josef Krips,http://www.wikidata.org/entity/Q93751,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/JosefKrips1.JPG,1902,1974,
1782,Peter Rosegger,http://www.wikidata.org/entity/Q93841,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Rosegger3.jpg,1843,1918,
71668,Camillo Sitte,http://www.wikidata.org/entity/Q93987,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Camillo%20Sitte.jpg,1843,1903,
53511,Jack Lemmon,http://www.wikidata.org/entity/Q94123,Estados Unidos,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Lemmon%201988%20ArM.jpg,1925,2001,
59612,Johann Müller Regiomontano,http://www.wikidata.org/entity/Q76365,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Regiomontanus2.jpg,1436,1476,
42957,Ludwig Bemelmans,http://www.wikidata.org/entity/Q76414,Alemania,masculino,,1898,1962,
42957,Ludwig Bemelmans,http://www.wikidata.org/entity/Q76414,Austria,masculino,,1898,1962,
42957,Ludwig Bemelmans,http://www.wikidata.org/entity/Q76414,Estados Unidos,masculino,,1898,1962,
540,Jakob Michael Reinhold Lenz,http://www.wikidata.org/entity/Q76417,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/JMRLenz.jpg,1751,1792,
1622,Johann Christoph Gottsched,http://www.wikidata.org/entity/Q76442,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Christoph%20Gottsched.jpg,1700,1766,obra de teatro#poesía
14957,Rainer Maria Rilke,http://www.wikidata.org/entity/Q76483,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Rainer%20Maria%20Rilke%2C%201900.jpg,1875,1926,prosa
14957,Rainer Maria Rilke,http://www.wikidata.org/entity/Q76483,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Rainer%20Maria%20Rilke%2C%201900.jpg,1875,1926,prosa
36459,Heinrich Mann,http://www.wikidata.org/entity/Q76480,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20Bild%20183-R98911%2C%20Heinrich%20Mann.jpg,1871,1950,
